name,country,population,aliases
Warīsān,AE,108759,
Ras Al Khaimah,AE,351943,Resü'l-Hayme
Dubai,AE,3790000,Dubái|Dúbæ|杜拜|迪拜
Sharjah,AE,1800000,Šardžá|夏尔迦
Fujairah,AE,118933,Füceyre|Füceyrə|富吉拉
Al Ain City,AE,846747,艾因
Ajman,AE,490035,
Abu Dhabi,AE,1807000,Abú Dabí|Abú Daibí|Abú Zabí|Â-pu-tha̍t-pí|阿布扎比
Jebel Ali,AE,210000,
Musaffah,AE,243341,
Mazār-e Sharīf,AF,523300,
Kunduz,AF,161902,Kundúz|昆都士
Kandahār,AF,523300,坎大哈
Kabul,AF,4434550,Cabúl|Kabúl|喀布尔|喀布爾
Jalālābād,AF,271900,
Herāt,AF,574300,Hérat|赫拉特
Ghazni,AF,141000,
Gardez,AF,103601,
Elbasan,AL,100903,
Vlorë,AL,115261,发罗拉
Tirana,AL,418495,Tiorána|Tírana|地拉那
Durrës,AL,195920,都拉斯
Yerevan,AM,1144700,Eireaván|Ereván|Iereván|Jereván|Yérévan|葉里溫
Gyumri,AM,114667,Gümrü|Kümri|久姆里
Saurimo,AO,393000,
Lucapa,AO,110000,
Dundo,AO,177604,
Chitato,AO,246880,
Uíge,AO,322531,
Soyo,AO,200920,Santo António do Zaire|Santo-António
N'dalatando,AO,161584,
Mbanza Kongo,AO,148000,
Malanje,AO,455000,
Luanda,AO,2776168,Lúanda|盧安達|罗安达
Cabinda,AO,550000,
Cazenga,AO,424528,
Talatona,AO,500000,
Sumbe,AO,205832,孫貝
Ondjiva,AO,121537,翁吉瓦
Mossamedes,AO,255000,納米貝
Menongue,AO,251178,梅農蓋
Luena,AO,273675,盧埃納
Lubango,AO,600751,Sá da Bandeira|盧班戈
Lobito,AO,357950,Llobín|洛比托
Cuíto,AO,355423,Bihé|Bié
Huambo,AO,595304,万博
Gabela,AO,116903,
Caála,AO,130000,
Benguela,AO,555124,São Félipe de Benguela|本吉拉
Resistencia,AR,290793,雷西斯滕西亚
